"","NT1","NT2","test","rawP","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"1","a","c","less",1,1,1,1,1,1,1
"2","a","t","less",0.169179311053087,1,0.338358622106175,1,1,1,1
"3","a","g","less",1,1,1,1,1,1,1
"4","c","t","less",4.19365852564396e-70,5.03239023077275e-69,1.67746341025758e-69,4.19365852564396e-69,4.19365852564396e-69,4.19365852564396e-69,5.20552236701903e-69
"5","c","g","less",1,1,1,1,1,1,1
"6","t","g","less",1,1,1,1,1,1,1
"7","a","c","greater",2.91489780635658e-59,3.4978773676279e-58,8.74469341906975e-59,2.62340802572093e-58,2.62340802572093e-58,2.62340802572093e-58,2.71366259957359e-58
"8","a","t","greater",0.830839492842732,1,1,1,1,1,1
"9","a","g","greater",6.43748934861559e-154,7.7249872183387e-153,3.86249360916935e-153,7.08123828347714e-153,7.08123828347714e-153,7.08123828347714e-153,1.19861314124948e-152
"10","c","t","greater",1,1,1,1,1,1,1
"11","c","g","greater",1.03950139727904e-21,1.24740167673485e-20,2.4948033534697e-21,8.31601117823235e-21,8.31601117823235e-21,8.31601117823235e-21,7.74190040652299e-21
"12","t","g","greater",2.25278805959553e-164,2.70334567151464e-163,2.70334567151464e-163,2.70334567151464e-163,2.70334567151464e-163,2.70334567151464e-163,8.38905115473883e-163
